6211BD,"POLYGON((176492.9084 318216.1611, 176494.3881 318200.0061, 176437.4962 318190.478, 176423.0415 318212.0296, 176492.9084 318216.1611))"
6211BE,"POLYGON((176467.5787 318148.3314, 176440.7195 318126.8538, 176434.995525 318178.7927, 176476.0198 318181.9702, 176467.5787 318148.3314))"
6211BG,"POLYGON((176563.68885 318297.6717, 176571.135 318278.6504, 176558.0562 318264.1892, 176540.7713 318289.7011, 176487.6503 318277.9361, 176479.8822 318360.0817, 176544.6415 318326.6778, 176563.68885 318297.6717))"
6211BH,"POLYGON((176447.6302 318378.435, 176448.41465 318328.70205, 176484.7629 318293.225, 176475.493 318273.38565, 176462.629681 318282.098393, 176470.472 318260.4726, 176441.337425 318262.467375, 176443.31225 318295.27225, 176407.042 318325.1633, 176352.3114 318332.2949, 176361.6331 318358.9294, 176418.3111 318351.3266, 176431.9226 318378.1507, 176447.6302 318378.435))"
6211BJ,"MULTIPOLYGON(((176523.5582 318172.9837, 176508.2998 318168.9697, 176514.54855 318215.846625, 176523.5582 318172.9837)), ((176551.7198 318284.9303, 176528.2458 318276.5432, 176528.0898 318289.8128, 176551.7198 318284.9303)))"
6211BK,"MULTIPOLYGON(((176517.9637 318189.0236, 176517.5546 318178.78108, 176509.5752 318220.7662, 176527.57095 318270.6349, 176517.9637 318189.0236)), ((176415.16085 318306.24935, 176402.1802 318294.4768, 176324.6191 318299.9092, 176324.6039 318319.7527, 176397.4201 318326.9234, 176415.16085 318306.24935)))"
6211BL,"POLYGON((176558.0562 318264.1892, 176547.3229 318185.6243, 176523.5582 318172.9837, 176527.57095 318270.6349, 176551.7198 318284.9303, 176558.0562 318264.1892))"
6211BM,
6211BN,"POLYGON((176442.4397 318278.1448, 176423.7738 318269.2779, 176423.925 318206.89195, 176406.2811 318194.0018, 176400.13555 318275.076, 176423.222 318305.8145, 176443.31225 318295.27225, 176442.4397 318278.1448))"
6211BP,"MULTIPOLYGON(((176428.6982 318214.5915, 176423.7738 318269.2779, 176442.4397 318278.1448, 176428.6982 318214.5915)), ((176354.1926 318286.80505, 176343.3839 318286.428, 176347.89705 318301.8839, 176354.1926 318286.80505)))"
6211BS,"POLYGON((176392.213 318170.3865, 176374.7156 318161.5317, 176355.7311 318183.9382, 176348.8265 318228.6583, 176361.0465 318258.1802, 176376.6587 318245.2237, 176392.213 318170.3865))"
6211BT,"POLYGON((176400.13555 318275.076, 176406.58615 318184.2206, 176392.213 318170.3865, 176376.6587 318245.2237, 176343.3839 318286.428, 176387.34775 318291.4702, 176400.13555 318275.076))"
6211BV,"POLYGON((176425.4469 318201.584, 176425.7775 318148.9609, 176440.7195 318126.8538, 176425.288 318075.431, 176389.842 318092.4669, 176379.63205 318141.2829, 176406.2811 318194.0018, 176425.4469 318201.584))"
6211BW,"POLYGON((176508.3021 318257.7905, 176498.858 318210.4905, 176504.7791 318288.7819, 176508.3021 318257.7905))"
